"filename", "language", "Docker", "JSON with Comments", "TypeScript", "YAML", "JavaScript", "Markdown", "Vue", "XML", "JSON", "PowerShell", "HTML", "comment", "blank", "total"
"c:\Users\TorbjörnVading\Desktop\repos\itemper-web\src\features\devices\devices-page.vue", "Vue", 0, 0, 0, 0, 0, 0, 32, 0, 0, 0, 0, 3, 8, 43
"c:\Users\TorbjörnVading\Desktop\repos\itemper-web\src\features\devices\index.ts", "TypeScript", 0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 3
"c:\Users\TorbjörnVading\Desktop\repos\itemper-web\src\features\devices\new-device-stepper.vue", "Vue", 0, 0, 0, 0, 0, 0, 75, 0, 0, 0, 0, 0, 5, 80
"c:\Users\TorbjörnVading\Desktop\repos\itemper-web\src\features\devices\new-device.vue", "Vue", 0, 0, 0, 0, 0, 0, 144, 0, 0, 0, 0, 2, 17, 163
"c:\Users\TorbjörnVading\Desktop\repos\itemper-web\src\features\devices\use-bluetooth.ts", "TypeScript", 0, 0, 72, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9, 81
"c:\Users\TorbjörnVading\Desktop\repos\itemper-web\src\features\devices\use-device-state.ts", "TypeScript", 0, 0, 33, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8, 41
"c:\Users\TorbjörnVading\Desktop\repos\itemper-web\src\features\locations\index.ts", "TypeScript", 0, 0, 6, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 8
"c:\Users\TorbjörnVading\Desktop\repos\itemper-web\src\features\locations\location-card.vue", "Vue", 0, 0, 0, 0, 0, 0, 421, 0, 0, 0, 0, 18, 30, 469
"c:\Users\TorbjörnVading\Desktop\repos\itemper-web\src\features\locations\location-data.ts", "TypeScript", 0, 0, 8, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 9
"c:\Users\TorbjörnVading\Desktop\repos\itemper-web\src\features\locations\location-page.vue", "Vue", 0, 0, 0, 0, 0, 0, 31, 0, 0, 0, 0, 3, 12, 46
"c:\Users\TorbjörnVading\Desktop\repos\itemper-web\src\features\locations\location-sensor-table.vue", "Vue", 0, 0, 0, 0, 0, 0, 108, 0, 0, 0, 0, 4, 11, 123
"c:\Users\TorbjörnVading\Desktop\repos\itemper-web\src\features\locations\location-service.ts", "TypeScript", 0, 0, 68, 0, 0, 0, 0, 0, 0, 0, 0, 1, 4, 73
"c:\Users\TorbjörnVading\Desktop\repos\itemper-web\src\features\locations\location.ts", "TypeScript", 0, 0, 69, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 70
"c:\Users\TorbjörnVading\Desktop\repos\itemper-web\src\features\locations\new-location-card.vue", "Vue", 0, 0, 0, 0, 0, 0, 175, 0, 0, 0, 0, 2, 17, 194
"c:\Users\TorbjörnVading\Desktop\repos\itemper-web\src\features\sensors\mock-sensor-service.ts", "TypeScript", 0, 0, 83, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 85
"c:\Users\TorbjörnVading\Desktop\repos\itemper-web\src\features\sensors\sensors-page.vue", "Vue", 0, 0, 0, 0, 0, 0, 54, 0, 0, 0, 0, 0, 5, 59
"c:\Users\TorbjörnVading\Desktop\repos\itemper-web\src\features\sensors\sensors-store.ts", "TypeScript", 0, 0, 172, 0, 0, 0, 0, 0, 0, 0, 0, 6, 10, 188
